model,task,selection_modality,candidate_id,selection_split,selection_metric,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,hidden_sizes,dropout,learning_rate,weight_decay,batch_size,central_epochs,patience,federated_rounds,local_epochs,client_weighting,force_cpu,seed,selected
MLP,coordinates,centralized_global,central_00,val,rmse_2d_m,2.927702894021395,2.494705685504965,2.172223736276128,3.293119631676974,5.381031715556401,1012,"(128, 64)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42,True
MLP,coordinates,centralized_global,central_01,val,rmse_2d_m,2.9828779390088416,2.555841835532774,2.3185874115312877,3.367399048415177,5.279440336099801,1012,"(128, 64)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_02,val,rmse_2d_m,2.9941582244020446,2.5489793089153037,2.277760489673841,3.363091288833469,5.407036539585729,1012,"(128, 64)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_03,val,rmse_2d_m,2.940160341296755,2.490773915792088,2.2583861821929183,3.2324902910982036,5.374819976700583,1012,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_04,val,rmse_2d_m,3.061144796112492,2.5601006876141694,2.2299802098481845,3.3906597015245747,5.60635232298424,1012,"(256, 128)",0.0,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_05,val,rmse_2d_m,3.0366290710312396,2.571517220229965,2.295574689564524,3.384573434667032,5.603961138087825,1012,"(256, 128)",0.0,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_06,val,rmse_2d_m,3.0183926477279157,2.545589627452084,2.2375170102427084,3.3517508220410526,5.638184598632918,1012,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,centralized_global,central_07,val,rmse_2d_m,3.0090077917861406,2.5386715552894628,2.2036552962195186,3.371548294618595,5.480421980818351,1012,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_00,val,rmse_2d_m,3.280689492850722,2.7430582129139753,2.4216384122812986,3.6878961278890023,5.963879014700606,1012,"(128, 64)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_01,val,rmse_2d_m,3.266897998324212,2.7436208369967705,2.417096828685474,3.7050413446001835,5.914627128943612,1012,"(128, 64)",0.1,0.001,1e-05,128,100,15,40,2,samples,False,42,False
MLP,coordinates,federated_global_fedavg,federated_02,val,rmse_2d_m,3.308624016728765,2.7673894263466017,2.432186366830406,3.6330222443592786,6.179179635547167,1012,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_03,val,rmse_2d_m,3.3065755784399156,2.7661086803216044,2.4311936910558902,3.64928788281504,6.194699800225744,1012,"(128, 64)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42,False
MLP,coordinates,federated_global_fedavg,federated_04,val,rmse_2d_m,3.246518725082245,2.7341318746527827,2.4122602384243055,3.6442351487286513,5.9862895857371,1012,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,uniform,False,42,True
MLP,coordinates,federated_global_fedavg,federated_05,val,rmse_2d_m,3.252667176692072,2.7333925257339167,2.397326900344935,3.610410848823552,6.071796050873622,1012,"(256, 128)",0.1,0.001,1e-05,128,100,15,40,2,samples,False,42,False
MLP,coordinates,federated_global_fedavg,federated_06,val,rmse_2d_m,3.309216650080565,2.791909273073538,2.443727982729271,3.634475290390843,6.116939280915474,1012,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,uniform,False,42,False
MLP,coordinates,federated_global_fedavg,federated_07,val,rmse_2d_m,3.3024167034175536,2.7868689309375223,2.4436387558073953,3.6316563698145896,6.093136549750164,1012,"(256, 128)",0.1,0.0005,1e-05,128,100,15,40,2,samples,False,42,False
