model,task,selection_modality,candidate_id,selection_split,selection_metric,rmse_2d_m,mean_error_m,median_error_m,p75_error_m,p95_error_m,n,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,central_rounds,early_stopping_rounds,federated_cycles,local_boost_rounds,nthread,seed,selected
XGBoost,coordinates,centralized_global,central_00,val,rmse_2d_m,2.764539122090651,2.2532799450441683,1.9003596233924673,3.075536206238145,5.577767030427317,1710,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_01,val,rmse_2d_m,3.0209876900240626,2.333759437001452,1.8226417813147964,3.2176328079541427,6.214632465720851,1710,4,0.05,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_02,val,rmse_2d_m,2.8982691170254893,2.303589258423365,1.8494893348811845,3.102148050523757,5.466177599747487,1710,4,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_03,val,rmse_2d_m,3.013001217445936,2.3416422745813863,1.901757663697778,3.0660131080547397,5.894444713357551,1710,4,0.1,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_04,val,rmse_2d_m,2.4232719759307018,1.837779471288551,1.4636771393327175,2.2801350268719878,4.563219585362324,1710,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,True
XGBoost,coordinates,centralized_global,central_05,val,rmse_2d_m,2.7980356528197365,1.9807827686838246,1.391291339049968,2.351944999766489,5.263044884918505,1710,8,0.05,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_06,val,rmse_2d_m,2.549966968510637,1.9178702645773598,1.4682460110087203,2.4234611827004677,4.852120849658969,1710,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,centralized_global,central_07,val,rmse_2d_m,2.9233787085293286,2.0414469093875116,1.4338368326422049,2.3845191280762683,5.715964884050862,1710,8,0.1,0.85,0.8,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_00,val,rmse_2d_m,29.634944750545657,27.5671884685831,26.139015386251387,31.188692107435887,48.53647551754885,1710,4,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_01,val,rmse_2d_m,27.319541853752682,24.809643050085675,24.88145268065033,29.764514354773713,45.06318735279607,1710,4,0.05,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_02,val,rmse_2d_m,27.04408034116583,25.08028329080279,24.974327918974325,29.835198457969884,40.077749682551215,1710,4,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_03,val,rmse_2d_m,25.196585327753755,22.89709420333117,24.227106619752558,27.846235523694556,38.57097260137664,1710,4,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_04,val,rmse_2d_m,29.209140869276794,27.06320591091809,25.084278803554508,30.52183455121866,48.583025760868,1710,8,0.05,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_05,val,rmse_2d_m,27.070203343137663,24.46575478218544,22.956453772031722,28.816014711321458,46.2155478970232,1710,8,0.05,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_06,val,rmse_2d_m,26.40176988709347,24.496768496591887,24.393685525711856,28.041229044485434,40.19804407236682,1710,8,0.1,0.85,0.55,2.0,1.0,400,30,12,1,-1,42,False
XGBoost,coordinates,federated_global_cyclic_boosting,federated_07,val,rmse_2d_m,24.39689975173777,22.261984957146304,22.80415545595867,24.930965374286707,40.22599255339967,1710,8,0.1,0.85,0.55,2.0,1.0,400,30,12,2,-1,42,True
